"customer_id","main_country","lifetime_value","total_orders"
"8411915.8379162946","Morocco","0","0"
"56671308.8817510370","Canada","0","0"
"4625054.8229367371","United States","0","0"
"48879751.8079807645","Taiwan","0","0"
"75005928.8825680048","United States","0","0"
"4237579680.4855517124","Australia","0","0"
"2316145.7062400311","United States","0","0"
"5415049.5407170769","Singapore","0","0"
"77969605.0775373668","India","0","0"
"7812930.6937523266","Malaysia","0","0"
"81400856.0292924087","Colombia","0","0"
"72451392.4879780221","India","0","0"
"4859084.5267292356","Serbia","0","0"
"73192066.2035987823","Netherlands","0","0"
"8389383.0390389763","Taiwan","0","0"
"57474636.9794731822","United States","0","0"
"6437559.8172870548","India","0","0"
"7113433.3742664708","United States","25","1"
"3339121.9070061732","United States","0","0"
"7184078.8661406500","United States","0","0"
"4646274.2769572946","Portugal","0","0"
"1269231.6864148049","Sweden","0","0"
"47556220.2022933806","Poland","0","0"
"10728475.0907997672","United States","0","0"
"38457342.2004698819","India","0","0"
"1556928.9305705946","United States","0","0"
"48001720.3129567971","United States","0","0"
"37493575.0376020341","India","0","0"
"12120363.0262444166","United States","0","0"
"66022458.4311730919","Germany","0","0"
"40079557.8938143748","United States","0","0"
"1204288.8973931017","India","0","0"
"58192021.2456861352","Germany","0","0"
"42046047.8569668242","United States","0","0"
"1194193.0107069199","Sweden","0","0"
"5002787.9583537280","Taiwan","96","2"
"4223819.2018389633","United States","0","0"
"2165019.9373775720","Thailand","0","0"
"2527243.4502949094","United States","0","0"
"79118263.1102383986","Denmark","0","0"
"5846466.3241896799","Spain","33","1"
"87758826.7100448778","Japan","0","0"
"79787683.5447345417","Canada","0","0"
"78195567.1372679518","United States","0","0"
"1845968920.5538605153","Canada","0","0"
"89959219.8899983124","United States","0","0"
"5860359.1529276591","United States","0","0"
"26303011.4181110449","Canada","0","0"
"22941875.3845230733","India","0","0"
"13778936.0741739229","Indonesia","0","0"
"7110394.3821408537","New Zealand","0","0"
"2260254.5743585075","United States","0","0"
"16651318.9668943703","Poland","0","0"
"6480730.2004444272","Canada","0","0"
"7828065.0332378874","United States","0","0"
"15192141.6150167584","Czechia","0","0"
"70756618.0302598271","Italy","0","0"
"6602096.0437164121","United States","0","0"
"6180794.0294973642","United States","0","0"
"29383469.0431228711","United States","0","0"
"58635041.1462095088","Trinidad & Tobago","0","0"
"2212017.2642371952","United States","0","0"
"4105044.5663177238","Canada","0","0"
"7389002.0844562600","United Kingdom","0","0"
"8668237.5557286847","India","0","0"
"7474261.3744499321","United States","0","0"
"97131252.0683238956","United Kingdom","0","0"
"8247172.8069681895","Canada","0","0"
"1008688.6936697332","Costa Rica","0","0"
"29309966.7198623495","Japan","0","0"
"7298101.9699894478","Poland","0","0"
"67891420.1150227543",NULL,"0","0"
"70829087.7125798915","Australia","0","0"
"1405798.3966265294","Indonesia","0","0"
"13729108.0986597965","Hong Kong","0","0"
"86560262.6627468825","Germany","0","0"
"18917217.8682759369","United States","0","0"
"4087801.0585741363","Australia","0","0"
"10994954.6761491951","United States","0","0"
"5896647.3699707359","Japan","0","0"
"19013527.8549125171","United States","0","0"
"8774996775.1360521285","Taiwan","0","0"
"59847254.3176147992","United States","0","0"
"5101818.9583902439","India","0","0"
"34024502.9100392375","India","0","0"
"7091006.4958106070","Philippines","0","0"
"23681956.2380322321","United Arab Emirates","0","0"
"6577179.9341411016","China","0","0"
"33315693.9313136829","Canada","0","0"
"80438709.5529018643","United States","0","0"
"3963244606.1365804105","United States","0","0"
"58646569.4130894175","Hong Kong","0","0"
"25330645.9583896202","United States","0","0"
"50330191.1877473853","United States","0","0"
"54856451.9953846613","United States","0","0"
"60985517.7484822392","Italy","0","0"
"8637380.0894524251","India","0","0"
"5714859806.5155857859","Colombia","0","0"
"74823154.6563320610","United States","0","0"
"5036155.9834677121","Pakistan","0","0"
